ID,Description,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14
A,Noyau central de pierres sèches,c80 C,c84b Inf,c92,c31b F
B,Premières alvéoles sur l’axe central,c90,c36 F,c36bis E2,c46 E2,T11b B1
C,Élargissement au sud,c24 D, c29 D2, c38 D3-D4, c38bis E2, c43 C, c43 D, c44 D, c68b (1), c68b (2), T11 C
D,Élargissement de la rampe débouchant au sud et de sa contrebutée au nord,c68base, c80 A, c62 B, c63 B
E,Élargissement trapézoïdal au nord,c59b Inf, c54b E-F, c86 D, c31 Inf, c30 F
F,Rampe,c85b A2, c49 C, c47b D, c47 C, c47 D, c31b A2-D
H,Élargissement au sud,c66 B, c67b B2, c42 B2, c38c D, c38b D, c22c Inf, c13 Inf, c8 B
I,Alignement au nord,c64 B, c59c, T10, c52 D1, c51 D1, c33 C, c27 A2, c17 E
J,Réfection de la rampe dont l’accès débouche au sud-est,c81 a-b / c85 sup / c66 B2, c49 B, c82 B-A2, c83 B-A2, c46 D
K,Pose d’un contrefort au sud et élargissement vers l’ouest,c39b, c22b B-F, c7 B1-C, c2 E2, c6 B2, T1 D, c10 B2b
L,Nouvelle réfection de la rampe dont l’accès débouche au sud-est + escalier au sud,c42 B / c67b B1, c66 B1 / c68 D / c81 a2 / c62b, c82 A2, c83 A2, c46 BC, c36bis B, c36 B, c45, c43 Cx3, c41 B2
M,Aménagement d’une arrête centrale en pierre,c2 E1-C, c15b B, c15c, c24 B2 / c15 B, c29b B1
N,Fermeture de la rampe d’accès au sud-est (+ rampe) et élargissement concomitant de la façade sud,c36 Nord B, c46 Nord B, c83 A2 sup, c82 A sup, c81 A / c62b sup, c67 BC, c66 A, c69, c70, c39 A, c39 B, c1d A-C, c1 B, b11 B, b11 C, T2 D
O,Pause de carapaces de pierre et d’un contrefort (repentir) au sud,carapace c59c, carapace c51-54, carapace c27, c28 B, c56b
P,Contreforts de pierre à l’est et au nord-est,c71, c72, c73, c74, c58 B, c60b BC, c60c, c64b
Q,Dallages au sud,c34b A, c28b, c28 A, c27 A, c30 A
R,Élargissement vers l’ouest au sud et au nord,b1 C, a5 B, a18, T2 C, T3 A, c19 BC
S,Réhaussement de la crête sommitale en pierre,c15b A, c15 A1, c25 A, c30b A, c36 Nord A, c46 Nord A
T,Rampe au sud,b1 B, T2 A, c8 A0
U,Alignement et Rampe au nord + escalier contre cairn III,c60bc Sup, c60d Sup, c58 A, c57b, c43 B, c18 B, b8 B, c51b, c34 Sup, a13 B, a12 B, a11 B
V,Destruction cairn III,remblais 1/2
W,Fermeture accès au sud,c40b (1), c40 (1)
