older,younger,type
A,B,older
B,C,older
B,D,older
B,E,older
C,D,synch
D,E,synch
C,F,older
D,F,older
E,F,older
C,G,older
C,H,older
E,I,older
H,I,synch
H,J,older
H,K,older
J,K,synch
J,L,older
K,M,older
L,N,older
I,O,older
N,P,older
O,Q,older
N,R,older
M,S,older
P,R,synch
R,S,synch
S,T,older
N,T,older
R,U,older
T,U,synch
T,V,older
U,V,older
N,W,older
